action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
2.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,13.3359999785,13.3372380731
2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,14.3919999767,14.3965881232
2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,15.5999999749,15.6038684074
0.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,16.9119999725,16.9151152601
0.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,17.927999971,17.9280057596
1.0,1.0,6.0,2.0,0.0,1.0,5.0,1.0,19.111999969,19.1135344149
2.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,20.5199999667,20.5261620991
0.0,1.0,8.0,1.0,1.0,1.0,7.0,1.0,21.8639999647,21.8656629864
0.0,1.0,9.0,1.0,1.0,1.0,8.0,1.0,23.1439999626,23.1479064571
1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,25.5199999588,25.5253743359
2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,26.8399999568,26.8470681575
2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,28.1359999545,28.1364162574
0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,29.4719999523,29.4742597614
1.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,30.7039999506,30.7104916011
2.0,0.0,6.0,0.0,1.0,0.0,5.0,1.0,31.8799999484,31.8806408253
0.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,33.2879999462,33.2912501718
1.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,34.4719999442,34.4742536286
1.0,0.0,9.0,2.0,0.0,0.0,8.0,1.0,35.5439999427,35.5451445177
2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,38.0639999385,38.0696680308
0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,39.3199999365,39.3241051349
0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,40.6959999343,40.7028611233
0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,41.7759999325,41.7813399744
0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,43.2559999302,43.259231875
0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,44.5119999282,44.5121150811
0.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,45.9279999258,45.9303625247
0.0,0.0,8.0,0.0,1.0,0.0,7.0,0.0,47.3679999234,47.3681407662
0.0,0.0,9.0,0.0,1.0,0.0,8.0,0.0,48.7519999214,48.7580817451
1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,51.5279999168,51.5309282984
1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,52.8399999146,52.84528657
0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,54.2239999124,54.2258992651
1.0,2.0,4.0,3.0,0.0,2.0,3.0,2.0,55.3679999106,55.3707470906
2.0,2.0,5.0,2.0,1.0,2.0,4.0,3.0,56.7839999082,56.7844934443
0.0,2.0,6.0,2.0,1.0,2.0,5.0,2.0,57.9599999064,57.9674504998
